,tweet_text
1/3/2019 21:56,b'Semoga ini bisa menjadi penyemangat pak @jokowi untuk memimpin indonesia lebih baik lagi ke depannya\xe2\x80\xa6 https://t.co/SkGcz8qp3E'
1/3/2019 21:55,b'Wahhhh #01JokowiBanyakCinta https://t.co/DQV8grINUo'
1/3/2019 21:54,"b'Walaupun hujan mengguyur,warga tetap bertahan demi untuk melihat presiden indonesia pak @jokowi secara langsung sam\xe2\x80\xa6 https://t.co/FgiB9rNOqq'"
1/3/2019 21:51,b'RT @lin_her2: #01JokowiBanyakCinta https://t.co/4qxwNvkyVn'
1/3/2019 21:50,"b'Betul pak ustadz, tapi kalo capres gagal berkali kali tapi tetep kekeuh nyalon terus apa itu bukan sebuah ambisi ?\xe2\x80\xa6 https://t.co/SFKH08RTqE'"
1/3/2019 21:49,"b'Pak @jokowi berziarah ke makam presiden pertama indonesia,lr.soekarno\n#01JokowiBanyakCinta https://t.co/hbaXr9nTy9'"
1/3/2019 21:49,b'RT @mumu_alimuddin: Hujan adalah pelengkap sekaligus jdi saksi pertemuan pak Jokowi dan Warga Blitar yang bgitu mencintainya \n#01JokowiBany\xe2\x80\xa6'
1/3/2019 21:48,"b'Ulama seharusnya jadi lentera umat, penyejuk di tengah gersangnya kehidupan dunia, bukan malah memecah belah dan me\xe2\x80\xa6 https://t.co/SDUrHwHE39'"
1/3/2019 21:47,"b'Semoga pak @jokowi bisa membawa negara kita,menuju negara yg lebih maju lagi,Aminn...\n#01JokowiBanyakCinta https://t.co/98tX6Iv5fB'"
1/3/2019 21:43,b'Semangat ki pak @jokowi \n#01JokowiBanyakCinta https://t.co/YY1SYDIgDn'
1/3/2019 21:41,"b'Semoga ditahun 2019 pakde @jokowi bisa lebih berkarya,Aminn:):)\n#01JokowiBanyakCinta https://t.co/pYE9uMlzz8'"
1/3/2019 21:39,"b'RT @felagonna: Kementerian PUPR Rampungkan 41,08 Km Jalan Akses Kawasan Wisata Mandeh https://t.co/dNkvBcgO1D\n\n#01JokowiBanyakCinta'"
1/3/2019 21:39,"b'RT @IK_InderaKusuma: @CNNIndonesia Jangan asal statement, dan jangan disamakan dengan situ ketika sedang berkuasa #01JokowiBanyakCinta'"
1/3/2019 21:39,b'RT @Me_AYS: @MarjanFa1 Ameen to the prayer dear @MarjanFa1 we hope #Iran leaders could see how #Indonesia survive the autocratic regime. By\xe2\x80\xa6'
1/3/2019 21:38,"b'Yakinlah,cinta rakyat kepada pakde @jokowi tiada akhir...\n#01JokowiBanyakCinta https://t.co/wxwxk6hI8v'"
1/3/2019 21:38,"b'@RizmaWidiono @jokowi Semoga Bapak Presiden @jokowi selalu sehat untuk dapat melaksanakan tugasnya, lawan hoax dg k\xe2\x80\xa6 https://t.co/oSNNeGY9OT'"
1/3/2019 21:38,b'RT @rojoterakhir: seperti halnya pak @jokowi - JK yg tulus membangun NKRI. Kami semua siap mendukung pak @jokowi utk jadi di periode selanj\xe2\x80\xa6'
1/3/2019 21:37,b'RT @Vitri2203: Banyak cintanya rakyat kepada @jokowi #01JokowiBanyakCinta https://t.co/X078TzvTSW'
1/3/2019 21:37,b'RT @NiviUtami: Sambutan untuk bapak nomer satu di Indonesia #01JokowiBanyakCinta https://t.co/O3eItaVud6'
1/3/2019 21:37,b'RT @SattiaV: Sambutan untuk pakde #01JokowiBanyakCinta https://t.co/IHuigrsF2w'
1/3/2019 21:37,b'RT @nadhira_karla: Semua cinta Pak Jokowi\n#01JokowiBanyakCinta https://t.co/frNgLah2IS'
1/3/2019 21:36,"b'RT @Me_AYS: @MarjanFa1 @Mr_HerryRodin @Kemlu_RI @jokowi @khamenei_ir @JZarif @mah_sadeghi @UN_Iran It\'s matter of a ""sincere intention"", wo\xe2\x80\xa6'"
1/3/2019 21:35,"b'Jika NKRI adalah keluarga cemara, maka Pak. Jokowi adalah seorang ""Abah"". 2019, Indonesia masih membutuhkan sosok A\xe2\x80\xa6 https://t.co/8ki8hTyVHp'"
1/3/2019 21:35,b'Pak @jokowi ziarah ke makam Bung Karno\n#01JokowiBanyakCinta https://t.co/cZkEVQVpGo'
1/3/2019 21:32,b'Insya Allah pakde @jokowi  bisa membawa indonesia lebih maju...\n#01JokowiBanyakCinta https://t.co/PT4FBLgJLH'
1/3/2019 21:30,b'Semangat ki pakde @jokowi \n#01JokowiBanyakCinta https://t.co/Ejv3gIfl1s'
1/3/2019 21:29,b'RT @ridlwandjogja: Alhamdulillah\nSikap Resmi KPU soal Tes Baca Al Quran.\n\nhttps://t.co/WOTPjZ5ec1 \n\n#01JokowiBanyakCinta'
1/3/2019 21:26,"b'Wahhh,semangat yahh pakde @jokowi ,semoga di tahun 2019 ini,pakde @jokowi bisa mempimpin Negara tercinta kita denga\xe2\x80\xa6 https://t.co/bbCKc47bTz'"
